,index,NAICS3_x,NAICS3Desc,ee_violtd_cnt,EMPL_N,affected
44,44,518,"Data Processing, Hosting, and Related Services",39563,48245.0,10.2505440978
45,45,326,Plastics and Rubber Products Manufacturing,12567,16450.0,9.54939209726
46,46,722,Food Services and Drinking Places,546411,733473.0,9.31205034132
47,47,519,Other Information Services,597,814.0,9.16769041769
48,48,327,Nonmetallic Mineral Product Manufacturing,10486,14566.0,8.99869559248
49,49,311,Food Manufacturing,66549,92700.0,8.97370550162
50,50,522,Credit Intermediation and Related Activities,79031,123092.0,8.02560280116
51,51,339,Miscellaneous Manufacturing,21388,34964.0,7.64643633452
52,52,531,Real Estate,63384,103718.0,7.63898262597
53,53,621,Ambulatory Health Care Services,240966,404494.0,7.44652578283
54,54,721,Accommodation,76376,143782.0,6.63991320193
55,55,541,"Professional, Scientific, and Technical Services",330680,659063.0,6.27178281894
56,56,325,Chemical Manufacturing,7009,14629.0,5.98896028437
57,57,332,Fabricated Metal Product Manufacturing,24337,51777.0,5.87543697008
58,58,425,Wholesale Electronic Markets and Agents and Brokers,3909,8455.0,5.77912477824
59,59,448,Clothing and Clothing Accessories Stores,61966,134235.0,5.77029090774
60,60,312,Beverage and Tobacco Product Manufacturing,11692,25990.0,5.62331666025
61,61,512,Motion Picture and Sound Recording Industries,5043,13677.0,4.6090151349
62,62,424,"Merchant Wholesalers, Nondurable Goods",55306,150799.0,4.58441368975
63,63,446,Health and Personal Care Stores,14383,45206.0,3.97707162766
64,64,443,Electronics and Appliance Stores,8305,26603.0,3.90228545653
65,65,713,"Amusement, Gambling, and Recreation Industries",38736,124675.0,3.8836976138
66,66,524,Insurance Carriers and Related Activities,30553,101763.0,3.75296030974
67,67,444,Building Material and Garden Equipment and Supplies Dealers,17905,59707.0,3.74851357462
68,68,454,Nonstore Retailers,7154,30761.0,2.90709014661
69,69,441,Motor Vehicle and Parts Dealers,22156,98202.0,2.82020732775
70,70,452,General Merchandise Stores,27775,143654.0,2.41683141437
71,71,333,Machinery Manufacturing,5894,32612.0,2.25913774071
72,72,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4567,30076.0,1.89810812608
73,73,611,Educational Services,25935,198209.0,1.63558415612
74,74,622,Hospitals,33108,286341.0,1.44530472409
75,75,423,"Merchant Wholesalers, Durable Goods",27572,259529.0,1.32798261466
76,76,511,Publishing Industries (except Internet),8418,85782.0,1.22665594181
77,77,712,"Museums, Historical Sites, and Similar Institutions",483,5294.0,1.14044200982
78,78,493,Warehousing and Storage,3907,43491.0,1.12293348049
79,79,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",3353,41831.0,1.00194831584
80,80,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",7475,128355.0,0.727961512991
81,81,551,Management of Companies and Enterprises,669,120639.0,0.0693183796285
82,82,487,Scenic and Sightseeing Transportation,0,679.0,0.0
