,naic_cd,naics_code_description,total_flsa_bw_atp_amt,total_flsa_ee_atp_cnt,total_observations,num_firms,num_establishments,num_employed,payroll,receipts,flsa_severity_idx,flsa_reported_rt,flsa_suscptbl_idx
"('1131', 'Timber Tract Operations')",1131,Timber Tract Operations,0.0,0.0,9,1572,1668,7804,358394,2173256,,1.15325474116,
"('11311', 'Timber Tract Operations')",11311,Timber Tract Operations,0.0,0.0,28,1572,1668,7804,358394,2173256,,3.58790363916,
"('113110', 'Timber Tract Operations')",113110,Timber Tract Operations,0.0,0.0,40,1572,1668,7804,358394,2173256,,5.12557662737,
"('1132', 'Forest Nurseries and Gathering of Forest Products')",1132,Forest Nurseries and Gathering of Forest Products,0.0,0.0,8,671,785,6836,202391,970712,,1.17027501463,
"('11321', 'Forest Nurseries and Gathering of Forest Products')",11321,Forest Nurseries and Gathering of Forest Products,0.0,0.0,24,671,785,6836,202391,970712,,3.51082504389,
"('113210', 'Forest Nurseries and Gathering of Forest Products')",113210,Forest Nurseries and Gathering of Forest Products,0.0,0.0,78,671,785,6836,202391,970712,,11.4101813926,
"('1133', 'Logging')",1133,Logging,0.0,0.0,3,38413,38617,215236,7196249,37537419,,0.0139381887788,
"('11331', 'Logging')",11331,Logging,0.0,0.0,13,38413,38617,215236,7196249,37537419,,0.0603988180416,
"('113310', 'Logging')",113310,Logging,0.0,0.0,89,38413,38617,215236,7196249,37537419,,0.413499600439,
"('1141', 'Fishing')",1141,Fishing,11000.0,1.0,1,8158,8182,16328,902139,7645554,0.673689367957,0.0612444879961,11.0
"('11411', 'Fishing')",11411,Fishing,0.0,0.0,3,8158,8182,16328,902139,7645554,,0.183733463988,
"('114111', 'Finfish Fishing')",114111,Finfish Fishing,0.0,0.0,3,4386,4407,10248,647728,5564221,,0.292740046838,
"('114112', 'Shellfish Fishing')",114112,Shellfish Fishing,2055.34,6.5,6,3720,3723,5429,228810,1986758,0.378585374839,1.10517590717,0.342556666667
"('114119', 'Other Marine Fishing')",114119,Other Marine Fishing,6891.33,1.0,5,52,52,330,14358,126579,20.8828181818,15.1515151515,1.378266
"('11421', 'Hunting and Trapping')",11421,Hunting and Trapping,44797.12,98.0,1,1293,1293,6451,191283,766379,6.94421330026,0.155014726399,44.79712
"('114210', 'Hunting and Trapping')",114210,Hunting and Trapping,0.0,0.0,11,1293,1293,6451,191283,766379,,1.70516199039,
"('1151', 'Support Activities for Crop Production')",1151,Support Activities for Crop Production,0.0,0.0,39,16585,17410,193353,5842369,31270274,,0.201703619804,
"('11511', 'Support Activities for Crop Production')",11511,Support Activities for Crop Production,0.0,0.0,145,16585,17410,193353,5842369,31270274,,0.749923714657,
"('115111', 'Cotton Ginning')",115111,Cotton Ginning,59.0,1.0,277,1012,1055,8808,327381,2126847,0.00669845594914,31.4486830154,0.000212996389892
"('115112', 'Soil Preparation, Planting, and Cultivating')",115112,"Soil Preparation, Planting, and Cultivating",0.0,0.0,78,7851,7988,37220,1377211,8187553,,2.09564750134,
"('115113', 'Crop Harvesting, Primarily by Machine')",115113,"Crop Harvesting, Primarily by Machine",0.0,0.0,92,1211,1217,7176,227467,1577445,,12.8205128205,
"('115114', 'Postharvest Crop Activities (except Cotton Ginning)')",115114,Postharvest Crop Activities (except Cotton Ginning),0.0,0.0,202,3013,3522,96182,2846053,14668020,,2.10018506581,
"('115115', 'Farm Labor Contractors and Crew Leaders')",115115,Farm Labor Contractors and Crew Leaders,0.0,0.0,4199,1616,1628,29948,567643,2529941,,140.209696808,
"('115116', 'Farm Management Services')",115116,Farm Management Services,0.0,0.0,155,1929,2000,11989,454935,1817968,,12.928517808,
"('1152', 'Support Activities for Animal Production')",1152,Support Activities for Animal Production,0.0,0.0,2,17073,17259,72227,1912363,8420364,,0.0276904758608,
"('11521', 'Support Activities for Animal Production')",11521,Support Activities for Animal Production,291.4,0.5,14,17073,17259,72227,1912363,8420364,0.00403450233292,0.193833331026,0.0208142857143
"('115210', 'Support Activities for Animal Production')",115210,Support Activities for Animal Production,0.0,0.0,32,17073,17259,72227,1912363,8420364,,0.443047613773,
"('1153', 'Support Activities for Forestry')",1153,Support Activities for Forestry,0.0,0.0,8,6533,6750,39294,1314454,4156216,,0.203593423932,
"('11531', 'Support Activities for Forestry')",11531,Support Activities for Forestry,0.0,0.0,50,6533,6750,39294,1314454,4156216,,1.27245889958,
"('115310', 'Support Activities for Forestry')",115310,Support Activities for Forestry,0.0,0.0,243,6533,6750,39294,1314454,4156216,,6.18415025195,
"('2111', 'Oil and Gas Extraction')",2111,Oil and Gas Extraction,45.0,1.0,19,25315,27625,362657,23822469,527998578,0.000124084189744,0.0523911023364,0.00236842105263
"('21111', 'Oil and Gas Extraction')",21111,Oil and Gas Extraction,0.0,0.0,101,25315,27625,362657,23822469,527998578,,0.278500070314,
"('211111', 'Crude Petroleum and Natural Gas Extraction')",211111,Crude Petroleum and Natural Gas Extraction,2813.98,1.0,133,24936,26795,343364,22458309,445669128,0.0081953262427,0.387344043056,0.0211577443609
"('211112', 'Natural Gas Liquid Extraction')",211112,Natural Gas Liquid Extraction,0.0,0.0,71,453,830,18988,1344555,82111468,,3.7392037076,
"('2121', 'Coal Mining')",2121,Coal Mining,0.0,0.0,4,2376,3257,184956,11300287,74800713,,0.0216267652847,
"('21211', 'Coal Mining')",21211,Coal Mining,0.0,0.0,11,2376,3257,184956,11300287,74800713,,0.059473604533,
"('212111', 'Bituminous Coal and Lignite Surface Mining')",212111,Bituminous Coal and Lignite Surface Mining,0.0,0.0,12,1352,1761,89488,5398557,40734827,,0.134096191668,
"('212112', 'Bituminous Coal Underground Mining')",212112,Bituminous Coal Underground Mining,0.0,0.0,17,845,1213,90573,5656646,32908299,,0.187693904364,
"('2122', 'Metal Ore Mining')",2122,Metal Ore Mining,33500.17,31.5,2,935,1075,75736,4915654,49488200,0.442328219077,0.0264075208619,16.750085
"('21222', 'Gold Ore and Silver Ore Mining')",21222,Gold Ore and Silver Ore Mining,0.0,0.0,7,525,569,29492,1800509,13714432,,0.237352502374,
"('212221', 'Gold Ore Mining')",212221,Gold Ore Mining,0.0,0.0,6,496,534,27432,1696769,12968342,,0.218722659668,
"('212222', 'Silver Ore Mining')",212222,Silver Ore Mining,0.0,0.0,1,32,35,1962,98053,733173,,0.509683995923,
"('21223', 'Copper, Nickel, Lead, and Zinc Mining')",21223,"Copper, Nickel, Lead, and Zinc Mining",0.0,0.0,1,130,166,25515,1599501,24220411,,0.0391926317852,
"('212234', 'Copper Ore and Nickel Ore Mining')",212234,Copper Ore and Nickel Ore Mining,0.0,0.0,1,89,109,20945,1254533,19541893,,0.0477440916687,
"('21229', 'Other Metal Ore Mining')",21229,Other Metal Ore Mining,599636.3,374.5,2,221,254,9541,689621,4405750,62.8483701918,0.209621632953,299.81815
"('212299', 'All Other Metal Ore Mining')",212299,All Other Metal Ore Mining,0.0,0.0,5,117,132,7605,566103,3528107,,0.657462195924,
"('2123', 'Nonmetallic Mineral Mining and Quarrying')",2123,Nonmetallic Mineral Mining and Quarrying,2506.25,0.5,4,13111,17832,273286,12109574,68853471,0.00917079543043,0.0146366809862,0.6265625
"('21231', 'Stone Mining and Quarrying')",21231,Stone Mining and Quarrying,472.29,1.0,22,5402,8174,142971,6252144,35908964,0.00330339719244,0.153877359744,0.0214677272727
"('212311', 'Dimension Stone Mining and Quarrying')",212311,Dimension Stone Mining and Quarrying,2221.5,1.5,24,1605,1677,16078,557215,1955218,0.138170170419,1.49272297549,0.0925625
"('212312', 'Crushed and Broken Limestone Mining and Quarrying')",212312,Crushed and Broken Limestone Mining and Quarrying,21456.03,6.5,12,2022,3912,82817,3680402,22226338,0.25907760484,0.144897786686,1.7880025
"('212313', 'Crushed and Broken Granite Mining and Quarrying')",212313,Crushed and Broken Granite Mining and Quarrying,13700.82,3.0,11,448,893,18979,932522,6487578,0.721893671953,0.579587965646,1.24552909091
"('212319', 'Other Crushed and Broken Stone Mining and Quarrying')",212319,Other Crushed and Broken Stone Mining and Quarrying,122.97,1.0,31,1452,1692,25097,1082005,5239830,0.00489978881938,1.23520739531,0.00396677419355
"('21232', 'Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying')",21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",3861.0,2.0,13,7044,8652,106532,4591490,24234975,0.036242631322,0.12202906169,0.297
"('212321', 'Construction Sand and Gravel Mining')",212321,Construction Sand and Gravel Mining,0.0,0.0,87,6406,7753,84164,3577090,18242701,,1.0336961171,
"('212322', 'Industrial Sand Mining')",212322,Industrial Sand Mining,5990.06,3.0,7,365,478,2604,277751,1646686,2.30033026114,2.68817204301,0.855722857143
"('212324', 'Kaolin and Ball Clay Mining')",212324,Kaolin and Ball Clay Mining,0.0,0.0,1,63,89,6611,341742,1794262,,0.151263046438,
"('212325', 'Clay and Ceramic and Refractory Minerals Mining')",212325,Clay and Ceramic and Refractory Minerals Mining,25013.02,10.0,1,261,332,6479,245045,1291587,3.86062972681,0.154344806297,25.01302
"('21239', 'Other Nonmetallic Mineral Mining and Quarrying')",21239,Other Nonmetallic Mineral Mining and Quarrying,7347.78,3.0,5,910,1006,23783,1265940,8709532,0.308950931338,0.2102342009,1.469556
"('212391', 'Potash, Soda, and Borate Mineral Mining')",212391,"Potash, Soda, and Borate Mineral Mining",0.0,0.0,1,46,50,3840,246411,3238777,,0.260416666667,
"('212392', 'Phosphate Rock Mining')",212392,Phosphate Rock Mining,50166.74,65.0,1,26,28,0,0,0,inf,inf,
"('212393', 'Other Chemical and Fertilizer Mineral Mining')",212393,Other Chemical and Fertilizer Mineral Mining,0.0,0.0,4,136,150,4393,240937,1203539,,0.910539494651,
"('212399', 'All Other Nonmetallic Mineral Mining')",212399,All Other Nonmetallic Mineral Mining,0.0,0.0,10,713,778,10557,437512,1913028,,0.947238798901,
"('2131', 'Support Activities for Mining')",2131,Support Activities for Mining,19313.16,13.0,5,37150,41379,859949,46446362,184485494,0.0224584946317,0.00581429828978,3.862632
"('21311', 'Support Activities for Mining')",21311,Support Activities for Mining,671.5,1.0,11,37150,41379,859949,46446362,184485494,0.000780860260318,0.0127914562375,0.0610454545455
"('213111', 'Drilling Oil and Gas Wells')",213111,Drilling Oil and Gas Wells,0.0,0.0,97,7708,8665,255476,14713896,56095391,,0.379683414489,
"('213112', 'Support Activities for Oil and Gas Operations')",213112,Support Activities for Oil and Gas Operations,811.365,1.0,788,27121,29935,549230,29108540,118964013,0.0014772772791,1.43473590299,0.00102965101523
"('213113', 'Support Activities for Coal Mining')",213113,Support Activities for Coal Mining,2038.41,4.0,22,1021,1124,21261,958746,3636431,0.0958755467758,1.03475847796,0.092655
"('213114', 'Support Activities for Metal Mining')",213114,Support Activities for Metal Mining,0.0,0.0,3,462,652,12809,686847,2197860,,0.234210320868,
"('213115', 'Support Activities for Nonmetallic Minerals (except Fuels) Mining')",213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,0.0,0.0,8,946,1003,15481,752375,2825237,,0.516762483044,
"('2211', 'Electric Power Generation, Transmission and Distribution')",2211,"Electric Power Generation, Transmission and Distribution",0.0,0.0,19,5555,22705,1086974,91874117,954300533,,0.0174797189261,
"('22111', 'Electric Power Generation')",22111,Electric Power Generation,0.0,0.0,22,1859,5416,275316,25463813,269339518,,0.0799081782388,
"('221111', 'Hydroelectric Power Generation')",221111,Hydroelectric Power Generation,0.0,0.0,3,480,1040,10660,787984,6288880,,0.281425891182,
"('221112', 'Fossil Fuel Electric Power Generation')",221112,Fossil Fuel Electric Power Generation,0.0,0.0,4,597,2864,175736,15586745,190441515,,0.0227614148495,
"('221113', 'Nuclear Electric Power Generation')",221113,Nuclear Electric Power Generation,0.0,0.0,21,66,160,58647,6314079,43864115,,0.35807458182,
"('221119', 'Other Electric Power Generation')",221119,Other Electric Power Generation,2200.0,1.0,35,885,1352,29282,2697418,27840385,0.0751314800902,1.19527354689,0.0628571428571
"('22112', 'Electric Power Transmission, Control, and Distribution')",22112,"Electric Power Transmission, Control, and Distribution",0.0,0.0,45,3879,17289,811972,66446166,686986109,,0.055420630268,
"('221121', 'Electric Bulk Power Transmission and Control')",221121,Electric Bulk Power Transmission and Control,0.0,0.0,30,183,294,11822,1069868,10342760,,2.53764168499,
"('221122', 'Electric Power Distribution')",221122,Electric Power Distribution,0.0,0.0,61,3722,16995,800112,65372157,675337264,,0.0762393264943,
"('2212', 'Natural Gas Distribution')",2212,Natural Gas Distribution,0.0,0.0,5,1798,5520,169106,12564909,273516549,,0.0295672536752,
"('22121', 'Natural Gas Distribution')",22121,Natural Gas Distribution,132.0,0.5,14,1798,5520,169106,12564909,273516549,0.000780575497026,0.0827883102906,0.00942857142857
"('221210', 'Natural Gas Distribution')",221210,Natural Gas Distribution,0.0,0.0,41,1798,5520,169106,12564909,273516549,,0.242451480137,
"('2213', 'Water, Sewage and Other Systems')",2213,"Water, Sewage and Other Systems",774.0,2.0,21,15713,17489,118708,5256048,26161337,0.00652020082892,0.176904673653,0.0368571428571
"('22131', 'Water Supply and Irrigation Systems')",22131,Water Supply and Irrigation Systems,0.0,0.0,32,14122,15240,99061,4329931,20721937,,0.323033282523,
"('221310', 'Water Supply and Irrigation Systems')",221310,Water Supply and Irrigation Systems,421.89,1.0,131,14122,15240,99061,4329931,20721937,0.00425889098636,1.32241750033,0.00322053435115
"('22132', 'Sewage Treatment Facilities')",22132,Sewage Treatment Facilities,2222.56,0.5,2,1430,1972,15587,632206,2581540,0.142590620389,0.128312054918,1.11128
"('221320', 'Sewage Treatment Facilities')",221320,Sewage Treatment Facilities,0.0,0.0,19,1430,1972,15587,632206,2581540,,1.21896452172,
"('22133', 'Steam and Air-Conditioning Supply')",22133,Steam and Air-Conditioning Supply,0.0,0.0,7,215,277,3837,266316,2520847,,1.8243419338,
"('221330', 'Steam and Air-Conditioning Supply')",221330,Steam and Air-Conditioning Supply,200.82,2.0,9,215,277,3837,266316,2520847,0.052337763878,2.34558248632,0.0223133333333
"('2361', 'Residential Building Construction')",2361,Residential Building Construction,0.0,0.0,377,782793,785737,3183591,130040179,1113213437,,0.118419734193,
"('23611', 'Residential Building Construction')",23611,Residential Building Construction,0.0,0.0,1060,782793,785737,3183591,130040179,1113213437,,0.332957342825,
"('236115', 'New Single-Family Housing Construction (except Operative Builders)')",236115,New Single-Family Housing Construction (except Operative Builders),0.0,0.0,936,243108,244006,1009888,40468775,339138128,,0.92683545106,
"('236116', 'New Multifamily Housing Construction (except Operative Builders)')",236116,New Multifamily Housing Construction (except Operative Builders),0.0,0.0,435,16685,16827,151242,7821816,75991492,,2.87618518665,
"('236117', 'New Housing Operative Builders')",236117,New Housing Operative Builders,0.0,0.0,92,127093,128371,706602,36015171,430231662,,0.130200593828,
"('236118', 'Residential Remodelers')",236118,Residential Remodelers,0.0,0.0,818,396046,396533,1315859,45734417,267852155,,0.621647152164,
"('2362', 'Nonresidential Building Construction')",2362,Nonresidential Building Construction,0.0,0.0,465,172274,175141,2322268,131076023,1179796346,,0.200235287228,
"('23621', 'Industrial Building Construction')",23621,Industrial Building Construction,0.0,0.0,112,14734,14978,262094,13491996,70466816,,0.427327600021,
"('236210', 'Industrial Building Construction')",236210,Industrial Building Construction,0.0,0.0,378,14734,14978,262094,13491996,70466816,,1.44223065007,
"('23622', 'Commercial and Institutional Building Construction')",23622,Commercial and Institutional Building Construction,0.0,0.0,581,157625,160163,2060174,117584027,1109329530,,0.282015014266,
"('236220', 'Commercial and Institutional Building Construction')",236220,Commercial and Institutional Building Construction,0.0,0.0,2266,157625,160163,2060174,117584027,1109329530,,1.09990709523,
"('2371', 'Utility System Construction')",2371,Utility System Construction,0.0,0.0,35,77371,79661,1455987,76684574,304030918,,0.0240386761695,
"('23711', 'Water and Sewer Line and Related Structures Construction')",23711,Water and Sewer Line and Related Structures Construction,0.0,0.0,69,52238,52720,659614,32577544,156507407,,0.104606633577,
"('237110', 'Water and Sewer Line and Related Structures Construction')",237110,Water and Sewer Line and Related Structures Construction,0.0,0.0,260,52238,52720,659614,32577544,156507407,,0.394169923622,
"('23712', 'Oil and Gas Pipeline and Related Structures Construction')",23712,Oil and Gas Pipeline and Related Structures Construction,652.16,1.0,24,6011,6344,298036,18308016,60595189,0.00218819203049,0.0805271846354,0.0271733333333
"('237120', 'Oil and Gas Pipeline and Related Structures Construction')",237120,Oil and Gas Pipeline and Related Structures Construction,802.46,1.0,127,6011,6344,298036,18308016,60595189,0.00269249352427,0.426123018696,0.00631858267717
"('23713', 'Power and Communication Line and Related Structures Construction')",23713,Power and Communication Line and Related Structures Construction,0.0,0.0,48,19183,20597,498337,25799014,86928322,,0.0963203615224,
"('237130', 'Power and Communication Line and Related Structures Construction')",237130,Power and Communication Line and Related Structures Construction,0.0,0.0,213,19183,20597,498337,25799014,86928322,,0.427421604256,
"('2372', 'Land Subdivision')",2372,Land Subdivision,911.63,0.5,2,50227,50456,258019,13381975,78962199,0.00353318941628,0.00775136714738,0.455815
"('23721', 'Land Subdivision')",23721,Land Subdivision,2574.57,2.0,9,50227,50456,258019,13381975,78962199,0.00997821865832,0.0348811521632,0.286063333333
"('237210', 'Land Subdivision')",237210,Land Subdivision,0.0,0.0,51,50227,50456,258019,13381975,78962199,,0.197659862258,
"('2373', 'Highway, Street, and Bridge Construction')",2373,"Highway, Street, and Bridge Construction",0.0,0.0,91,40741,42537,930617,55365235,309428899,,0.0977845880744,
"('23731', 'Highway, Street, and Bridge Construction')",23731,"Highway, Street, and Bridge Construction",0.0,0.0,144,40741,42537,930617,55365235,309428899,,0.154736051458,
"('237310', 'Highway, Street, and Bridge Construction')",237310,"Highway, Street, and Bridge Construction",0.0,0.0,650,40741,42537,930617,55365235,309428899,,0.698461343388,
"('2379', 'Other Heavy and Civil Engineering Construction')",2379,Other Heavy and Civil Engineering Construction,0.0,0.0,75,19857,20292,267374,14819573,66263518,,0.280505957947,
"('23799', 'Other Heavy and Civil Engineering Construction')",23799,Other Heavy and Civil Engineering Construction,0.0,0.0,107,19857,20292,267374,14819573,66263518,,0.400188500004,
"('237990', 'Other Heavy and Civil Engineering Construction')",237990,Other Heavy and Civil Engineering Construction,0.0,0.0,422,19857,20292,267374,14819573,66263518,,1.57831352338,
"('2381', 'Foundation, Structure, and Building Exterior Contractors')",2381,"Foundation, Structure, and Building Exterior Contractors",0.0,0.0,103,448761,450783,3614298,136596041,511516558,,0.028497926845,
"('23811', 'Poured Concrete Foundation and Structure Contractors')",23811,Poured Concrete Foundation and Structure Contractors,0.0,0.0,152,101738,102123,966513,38694020,148399106,,0.157266379242,
"('238110', 'Poured Concrete Foundation and Structure Contractors')",238110,Poured Concrete Foundation and Structure Contractors,0.0,0.0,719,101738,102123,966513,38694020,148399106,,0.743911359702,
"('23812', 'Structural Steel and Precast Concrete Contractors')",23812,Structural Steel and Precast Concrete Contractors,0.0,0.0,49,13661,13745,244025,11688008,39604158,,0.200799098453,
"('238120', 'Structural Steel and Precast Concrete Contractors')",238120,Structural Steel and Precast Concrete Contractors,0.0,0.0,220,13661,13745,244025,11688008,39604158,,0.901546972646,
"('23813', 'Framing Contractors')",23813,Framing Contractors,0.0,0.0,29,68225,68304,480188,14531053,54596498,,0.0603930127367,
"('238130', 'Framing Contractors')",238130,Framing Contractors,0.0,0.0,225,68225,68304,480188,14531053,54596498,,0.468566478129,
"('23814', 'Masonry Contractors')",23814,Masonry Contractors,0.0,0.0,106,105546,105849,779415,27686076,91826557,,0.135999435474,
"('238140', 'Masonry Contractors')",238140,Masonry Contractors,0.0,0.0,512,105546,105849,779415,27686076,91826557,,0.65690293361,
"('23815', 'Glass and Glazing Contractors')",23815,Glass and Glazing Contractors,0.0,0.0,26,21368,21611,187773,8349138,32634704,,0.138465061537,
"('238150', 'Glass and Glazing Contractors')",238150,Glass and Glazing Contractors,0.0,0.0,136,21368,21611,187773,8349138,32634704,,0.724278783425,
"('23816', 'Roofing Contractors')",23816,Roofing Contractors,0.0,0.0,214,74810,75482,628363,23578686,96419211,,0.340567474533,
"('238160', 'Roofing Contractors')",238160,Roofing Contractors,0.0,0.0,1261,74810,75482,628363,23578686,96419211,,2.00680180087,
"('23817', 'Siding Contractors')",23817,Siding Contractors,0.0,0.0,19,41185,41284,173582,5561686,25085935,,0.109458353977,
"('238170', 'Siding Contractors')",238170,Siding Contractors,0.0,0.0,109,41185,41284,173582,5561686,25085935,,0.627945293867,
"('23819', 'Other Foundation, Structure, and Building Exterior Contractors')",23819,"Other Foundation, Structure, and Building Exterior Contractors",0.0,0.0,106,22332,22385,151414,6352905,22578379,,0.700067364973,
"('238190', 'Other Foundation, Structure, and Building Exterior Contractors')",238190,"Other Foundation, Structure, and Building Exterior Contractors",0.0,0.0,392,22332,22385,151414,6352905,22578379,,2.58892836858,
"('2382', 'Building Equipment Contractors')",2382,Building Equipment Contractors,0.0,0.0,26,717705,726250,6330792,292248481,977259834,,0.00410691111002,
"('23821', 'Electrical Contractors and Other Wiring Installation Contractors')",23821,Electrical Contractors and Other Wiring Installation Contractors,0.0,0.0,270,308027,310876,2672018,123574406,395504315,,0.101047223484,
"('238210', 'Electrical Contractors and Other Wiring Installation Contractors')",238210,Electrical Contractors and Other Wiring Installation Contractors,0.0,0.0,1578,308027,310876,2672018,123574406,395504315,,0.590564883919,
"('23822', 'Plumbing, Heating, and Air-Conditioning Contractors')",23822,"Plumbing, Heating, and Air-Conditioning Contractors",0.0,0.0,448,387227,390626,3307515,149115515,516712613,,0.135449121168,
"('238220', 'Plumbing, Heating, and Air-Conditioning Contractors')",238220,"Plumbing, Heating, and Air-Conditioning Contractors",0.0,0.0,1776,387227,390626,3307515,149115515,516712613,,0.536959016059,
"('23829', 'Other Building Equipment Contractors')",23829,Other Building Equipment Contractors,0.0,0.0,31,22608,24748,351259,19558560,65042906,,0.0882539664464,
"('238290', 'Other Building Equipment Contractors')",238290,Other Building Equipment Contractors,0.0,0.0,187,22608,24748,351259,19558560,65042906,,0.532370700822,
"('2383', 'Building Finishing Contractors')",2383,Building Finishing Contractors,0.0,0.0,66,523537,526424,3162371,115241795,406071322,,0.0208704165324,
"('23831', 'Drywall and Insulation Contractors')",23831,Drywall and Insulation Contractors,0.0,0.0,156,84128,85620,979242,38076278,126139896,,0.159306892474,
"('238310', 'Drywall and Insulation Contractors')",238310,Drywall and Insulation Contractors,0.0,0.0,972,84128,85620,979242,38076278,126139896,,0.992604483876,
"('23832', 'Painting and Wall Covering Contractors')",23832,Painting and Wall Covering Contractors,0.0,0.0,170,163357,163577,819408,27397012,82485301,,0.207466854119,
"('238320', 'Painting and Wall Covering Contractors')",238320,Painting and Wall Covering Contractors,0.0,0.0,906,163357,163577,819408,27397012,82485301,,1.10567629313,
"('23833', 'Flooring Contractors')",23833,Flooring Contractors,0.0,0.0,47,66402,66755,300082,11074311,50060392,,0.156623856146,
"('238330', 'Flooring Contractors')",238330,Flooring Contractors,0.0,0.0,294,66402,66755,300082,11074311,50060392,,0.97973220653,
"('23834', 'Tile and Terrazzo Contractors')",23834,Tile and Terrazzo Contractors,145.0,0.5,26,47041,47098,247151,8643080,31180430,0.0005866858722,0.10519884605,0.00557692307692
"('238340', 'Tile and Terrazzo Contractors')",238340,Tile and Terrazzo Contractors,0.0,0.0,138,47041,47098,247151,8643080,31180430,,0.558363105955,
"('23835', 'Finish Carpentry Contractors')",23835,Finish Carpentry Contractors,0.0,0.0,52,134924,135382,584740,20691460,85003761,,0.0889284126278,
"('238350', 'Finish Carpentry Contractors')",238350,Finish Carpentry Contractors,0.0,0.0,194,134924,135382,584740,20691460,85003761,,0.331771385573,
"('23839', 'Other Building Finishing Contractors')",23839,Other Building Finishing Contractors,0.0,0.0,71,27742,27992,231748,9359654,31201542,,0.30636726099,
"('238390', 'Other Building Finishing Contractors')",238390,Other Building Finishing Contractors,0.0,0.0,327,27742,27992,231748,9359654,31201542,,1.41101541329,
"('2389', 'Other Specialty Trade Contractors')",2389,Other Specialty Trade Contractors,0.0,0.0,252,300161,301931,1917835,82735668,358059593,,0.131398165118,
"('23891', 'Site Preparation Contractors')",23891,Site Preparation Contractors,0.0,0.0,103,161387,162049,1114201,49242010,216856381,,0.0924429254686,
"('238910', 'Site Preparation Contractors')",238910,Site Preparation Contractors,0.0,0.0,558,161387,162049,1114201,49242010,216856381,,0.500807304966,
"('23899', 'All Other Specialty Trade Contractors')",23899,All Other Specialty Trade Contractors,0.0,0.0,461,138792,139882,803634,33493658,141203212,,0.573644221126,
"('238990', 'All Other Specialty Trade Contractors')",238990,All Other Specialty Trade Contractors,0.0,0.0,2324,138792,139882,803634,33493658,141203212,,2.8918637091,
"('31111', 'Animal Food Manufacturing')",31111,Animal Food Manufacturing,0.0,0.0,7,4431,5782,122659,5552166,91077568,,0.0570687841903,
"('311111', 'Dog and Cat Food Manufacturing')",311111,Dog and Cat Food Manufacturing,0.0,0.0,10,756,915,39658,2300401,31058560,,0.252155933229,
"('311119', 'Other Animal Food Manufacturing')",311119,Other Animal Food Manufacturing,0.0,0.0,14,3692,4867,83001,3251765,60019008,,0.168672666594,
"('3112', 'Grain and Oilseed Milling')",3112,Grain and Oilseed Milling,0.0,0.0,6,1726,2450,133793,6685995,156322709,,0.044845395499,
"('31121', 'Flour Milling and Malt Manufacturing')",31121,Flour Milling and Malt Manufacturing,0.0,0.0,3,906,1236,40602,1772697,33212600,,0.0738879858135,
"('311211', 'Flour Milling')",311211,Flour Milling,0.0,0.0,8,655,934,29221,1265076,24139832,,0.27377570925,
"('311212', 'Rice Milling')",311212,Rice Milling,0.0,0.0,11,207,222,8760,367440,7006903,,1.25570776256,
"('311213', 'Malt Manufacturing')",311213,Malt Manufacturing,0.0,0.0,1,53,80,1891,98992,1382499,,0.528820729773,
"('311221', 'Wet Corn Milling')",311221,Wet Corn Milling,0.0,0.0,1,125,195,18298,1148824,25409523,,0.0546507815062,
"('311222', 'Soybean Processing')",311222,Soybean Processing,7358.32,2.0,3,255,359,15245,713723,40502110,0.482671039685,0.19678583142,2.45277333333
"('311223', 'Other Oilseed Processing')",311223,Other Oilseed Processing,33186.76,47.0,1,120,137,5729,261945,5338054,5.79276662594,0.174550532379,33.18676
"('311225', 'Fats and Oils Refining and Blending')",311225,Fats and Oils Refining and Blending,41331.94,14.0,1,249,344,19407,870322,27659053,2.12974390684,0.0515277992477,41.33194
"('31123', 'Breakfast Cereal Manufacturing')",31123,Breakfast Cereal Manufacturing,0.0,0.0,2,125,179,31585,1763154,1275483,,0.0633211967706,
"('311230', 'Breakfast Cereal Manufacturing')",311230,Breakfast Cereal Manufacturing,0.0,0.0,8,125,179,31585,1763154,1275483,,0.253284787082,
"('3113', 'Sugar and Confectionery Product Manufacturing')",3113,Sugar and Confectionery Product Manufacturing,0.0,0.0,7,6059,6474,184449,6795458,63570970,,0.0379508698882,
"('31131', 'Sugar Manufacturing')",31131,Sugar Manufacturing,0.0,0.0,1,153,236,35287,1482625,18167774,,0.0283390483748,
"('311313', 'Beet Sugar Manufacturing')",311313,Beet Sugar Manufacturing,7927.0,17.5,2,27,69,13210,526572,6469171,0.600075700227,0.151400454201,3.9635
"('31132', 'Chocolate and Confectionery Manufacturing from Cacao Beans')",31132,Chocolate and Confectionery Manufacturing from Cacao Beans,0.0,0.0,1,551,579,18034,845378,9441799,,0.055450815127,
"('311320', 'Chocolate and Confectionery Manufacturing from Cacao Beans')",311320,Chocolate and Confectionery Manufacturing from Cacao Beans,0.0,0.0,5,551,579,18034,845378,9441799,,0.277254075635,
"('31133', 'Confectionery Manufacturing from Purchased Chocolate')",31133,Confectionery Manufacturing from Purchased Chocolate,3330.7,1.0,7,3777,3968,83784,2714736,22854118,0.0397534135396,0.0835481714886,0.475814285714
